resort,ds,Year,Week,prop_hat,prop_lo,prop_hi,y_abs_hat,y_abs_lo,y_abs_hi
Charlotte Pass,2026-06-09,2026,1,0.024850208831072324,0.0,0.038261295071376884,589.0475089194038,0.0,1504.9873891378677
Charlotte Pass,2026-06-16,2026,2,0.023282817338237716,0.0,0.036084377454897294,551.8941771050952,0.0,1419.359509739588
Charlotte Pass,2026-06-23,2026,3,0.034360761105720325,0.007662474007519982,0.04566260563644909,814.4849353777404,65.50421121248478,1796.113945171761
Charlotte Pass,2026-06-30,2026,4,0.07095167503192601,0.06904663265265458,0.07012801750849133,1681.833247974826,590.2591257538487,2758.447715338167
Charlotte Pass,2026-07-07,2026,5,0.10625388210607499,0.13497504704462332,0.09421903232887759,2518.6341488341805,1153.8615310602108,3706.0547795678945
Charlotte Pass,2026-07-14,2026,6,0.11395034949856973,0.14850031984113737,0.09888627134932296,2701.070641655912,1269.4850653260164,3889.638107177659
Charlotte Pass,2026-07-21,2026,7,0.09936484575834159,0.12290233393333433,0.08996181219507664,2355.3369416729447,1050.6554975032288,3538.599323546299
Charlotte Pass,2026-07-28,2026,8,0.08603615375271194,0.1001055100345902,0.07960345108110585,2039.3946139266664,855.7722305359756,3131.1587803137636
Charlotte Pass,2026-08-04,2026,9,0.08455459353412463,0.0956006445256865,0.07855787815734015,2004.2758202776681,817.2614751990616,3090.0317337316797
Charlotte Pass,2026-08-11,2026,10,0.08589824731375056,0.10274413000645344,0.08003631705569697,2036.1256899153489,878.3290078609994,3148.1853297740263
Charlotte Pass,2026-08-18,2026,11,0.08005634808345541,0.09018377928848145,0.07431345927428049,1897.6497434009368,770.95430544433,2923.0798079981955
Charlotte Pass,2026-08-25,2026,12,0.06810904035584607,0.0672510436696645,0.06710040316057435,1614.4516462307352,574.9091696068965,2639.358139193719
Charlotte Pass,2026-09-01,2026,13,0.054431626819625295,0.04198599254769285,0.05829954164327558,1290.24324916095,358.92576224216475,2293.1810018967626
Charlotte Pass,2026-09-08,2026,14,0.039450959300170944,0.019042092448161633,0.049566870287717814,935.1426162338493,162.78518457979752,1949.686087804536
Charlotte Pass,2026-09-15,2026,15,0.028448491170372677,0.0,0.03931866779551683,674.3409268847004,0.0,1546.5785744984341
Falls Creek,2026-06-09,2026,1,0.021794599824007093,0.0,0.034176772380058215,6490.030131552199,0.0,16093.389033762307
Falls Creek,2026-06-16,2026,2,0.022646737265736266,0.0,0.035406199097818315,6743.780955963039,0.0,16672.309776698217
Falls Creek,2026-06-23,2026,3,0.03303148658474686,0.008203301971006856,0.04348913728815921,9836.167901960354,1049.3551744985843,20478.458215364473
Falls Creek,2026-06-30,2026,4,0.061501517409622224,0.05719056031534648,0.0618858544116966,18314.01835077348,7315.738298003471,29141.228424347548
Falls Creek,2026-07-07,2026,5,0.09081432950351087,0.10425628236412307,0.0829863995582489,27042.833528206174,13336.321125254188,39077.195404836086
Falls Creek,2026-07-14,2026,6,0.10072049380988977,0.12243956164964757,0.09034736151413683,29992.70667823704,15662.30135553896,42543.37480590646
Falls Creek,2026-07-21,2026,7,0.09222316695314296,0.11117393895270804,0.08518288096141798,27462.359354438588,14221.218299866534,40111.489378928556
Falls Creek,2026-07-28,2026,8,0.08302217001919561,0.09278244900711362,0.0771213674239791,24722.47205098551,11868.604046562452,36315.42952528816
Falls Creek,2026-08-04,2026,9,0.08406191394561803,0.09471291727605906,0.07997904012441455,25032.08862876488,12115.546908642,37661.06971587866
Falls Creek,2026-08-11,2026,10,0.08904464273598414,0.10300432428571749,0.08494576845033658,26515.85342591467,13176.172359248325,39999.83624085073
Falls Creek,2026-08-18,2026,11,0.08705599020996785,0.10031587562636268,0.08067609108883708,25923.669356500533,12832.269681760825,37989.30177425046
Falls Creek,2026-08-25,2026,12,0.07713639948046827,0.08224438500126878,0.0739965001273461,22969.79806512659,10520.589304107067,34843.97094153554
Falls Creek,2026-09-01,2026,13,0.06536876793387476,0.06262262017309084,0.06531383425095372,19465.614279642683,8010.599969566497,30755.418686071873
Falls Creek,2026-09-08,2026,14,0.053284413495737114,0.04341519123168465,0.05717470702725535,15867.11625457317,5553.611915278814,26922.811576493186
Falls Creek,2026-09-15,2026,15,0.03829337082849838,0.017638592145870748,0.0473180862953416,11403.06004801713,2256.3045959489145,22281.45954263373
Mt. Baw Baw,2026-06-09,2026,1,0.0332463894759269,0.0,0.046602531929357795,2091.962248464249,0.0,4887.4102547280345
Mt. Baw Baw,2026-06-16,2026,2,0.024427217767556946,0.0,0.0410480133963029,1537.0335910233332,0.0,4304.8837327854
Mt. Baw Baw,2026-06-23,2026,3,0.03982436487433288,0.0,0.05227170925873432,2505.868131831099,0.0,5481.961543431982
Mt. Baw Baw,2026-06-30,2026,4,0.0944788742875719,0.11615472376399151,0.0833192970690198,5944.8933072901655,3184.540814598122,8738.05714095394
Mt. Baw Baw,2026-07-07,2026,5,0.13325098027488091,0.20842144322842604,0.10595829002847085,8384.550163191321,5714.1592790230225,11112.306817226015
Mt. Baw Baw,2026-07-14,2026,6,0.12770017027685326,0.19119159220904827,0.10351705689809532,8035.276598533124,5241.779318719908,10856.284078940782
Mt. Baw Baw,2026-07-21,2026,7,0.10264303047927552,0.13186397311258774,0.08990790075250542,6458.606429612103,3615.231397780518,9429.03267112081
Mt. Baw Baw,2026-07-28,2026,8,0.08801372333113733,0.10496588771782075,0.07856342653400329,5538.086675211312,2877.783552368522,8239.288308860596
Mt. Baw Baw,2026-08-04,2026,9,0.08368997722764523,0.09005889140274581,0.07809103603531725,5266.023640306446,2469.0878347076923,8189.7466622604925
Mt. Baw Baw,2026-08-11,2026,10,0.07649571699298044,0.07806413620930411,0.0726826585259612,4813.3392720551565,2140.235195427693,7622.546585218853
Mt. Baw Baw,2026-08-18,2026,11,0.0650237936466332,0.04862431980380541,0.06498857810929345,4091.491548553897,1333.102313702829,6815.63490097547
Mt. Baw Baw,2026-08-25,2026,12,0.05356122460000719,0.030655032552270454,0.05891579496902089,3370.2324255649355,840.4496965090508,6178.755715108527
Mt. Baw Baw,2026-09-01,2026,13,0.039003642134293616,0.0,0.04978310994638487,2454.2258026734785,0.0,5220.971307589802
Mt. Baw Baw,2026-09-08,2026,14,0.021813845761551074,0.0,0.03785686989820567,1372.5924091706036,0.0,3970.2146319616318
Mt. Baw Baw,2026-09-15,2026,15,0.016827048869353434,0.0,0.03649372664932695,1058.8082358007387,0.0,3827.2558694778236
Mt. Buller,2026-06-09,2026,1,0.02687706168170589,0.0,0.03882234894598504,8937.287696639223,0.0,20061.736405972595
Mt. Buller,2026-06-16,2026,2,0.024239724966192294,0.0,0.03802709189239292,8060.308015653555,0.0,19650.78143242493
Mt. Buller,2026-06-23,2026,3,0.03788080658939071,0.013891824182227208,0.04652626082964154,12596.305008317551,1972.1340455565673,24042.7899408783
Mt. Buller,2026-06-30,2026,4,0.07747009178955966,0.08300883916952616,0.07501762172974355,25760.721406522363,11784.237668209973,38765.91174426401
Mt. Buller,2026-07-07,2026,5,0.1119948677929757,0.1427988691642265,0.09783420117599385,37241.06324815224,20272.248471589744,50556.548193734816
Mt. Buller,2026-07-14,2026,6,0.11700899048405677,0.15205060932617004,0.10224777582425605,38908.38304549976,21585.65926017105,52837.29558809557
Mt. Buller,2026-07-21,2026,7,0.10199644954886966,0.12390596018191158,0.0894403459310286,33916.34191450568,17590.14218123709,46218.96131591148
Mt. Buller,2026-07-28,2026,8,0.08987581296692679,0.10717088430850609,0.08328872250417158,29885.930499668397,15214.369751930117,43040.06434009686
Mt. Buller,2026-08-04,2026,9,0.08707736844353524,0.10485362016664207,0.08117571546964535,28955.3784882609,14885.402479758322,41948.15230227528
Mt. Buller,2026-08-11,2026,10,0.08402605074885805,0.09722941561943521,0.07803941336345055,27940.73989368053,13803.042585147045,40327.44495580537
Mt. Buller,2026-08-18,2026,11,0.07493544901270228,0.07955587074444671,0.07164140684526897,24917.889999828763,11294.041672349102,37021.22769239252
Mt. Buller,2026-08-25,2026,12,0.06292605249380309,0.05613212467610871,0.06413009311758418,20924.468656993664,7968.721218398828,33139.7006813135
Mt. Buller,2026-09-01,2026,13,0.048842004468953544,0.033755928155675255,0.05373238944720972,16241.174380929233,4792.114720278272,27766.61028555478
Mt. Buller,2026-09-08,2026,14,0.031419705097225026,0.005646054305124435,0.043240617490302224,10447.82897486877,801.5344689175256,22344.9094058912
Mt. Buller,2026-09-15,2026,15,0.02342956391524533,0.0,0.0368359954333258,7790.909430396261,0.0,19035.27351379954
Mt. Hotham,2026-06-09,2026,1,0.019821072313866366,0.0,0.0337565120101914,4595.343035460216,0.0,12657.108783969028
Mt. Hotham,2026-06-16,2026,2,0.020664288131666646,0.0,0.03674696239819966,4790.835281003746,0.0,13778.387423855032
Mt. Hotham,2026-06-23,2026,3,0.02974427566978495,0.0,0.040831403325293794,6895.95133298279,0.0,15309.86120646379
Mt. Hotham,2026-06-30,2026,4,0.06396483140647365,0.05794396698844925,0.06329322569980622,14829.689224860538,5292.50033669229,23731.99111119328
Mt. Hotham,2026-07-07,2026,5,0.10219954991959634,0.1295937331738402,0.09209693195370855,23694.075805456552,11836.864338136958,34532.030028930494
Mt. Hotham,2026-07-14,2026,6,0.11457944194115076,0.15413246268205968,0.09751574315827712,26564.245979912794,14078.18886136371,36563.830082067136
Mt. Hotham,2026-07-21,2026,7,0.09990021845247407,0.12513062017924642,0.0889186651744155,23160.995824901565,11429.211423532543,33340.32905112088
Mt. Hotham,2026-07-28,2026,8,0.08297948517988439,0.0979378938634481,0.07766139352764255,19238.0711431386,8945.475485835475,29119.380162773712
Mt. Hotham,2026-08-04,2026,9,0.08131145158681848,0.09062667105912049,0.07769649744363238,18851.352078022897,8277.681215532068,29132.542484855225
Mt. Hotham,2026-08-11,2026,10,0.08748737361922279,0.10601900651152127,0.08048939056709098,20283.185827970934,9683.590144421094,30179.746416201626
Mt. Hotham,2026-08-18,2026,11,0.08577591539130487,0.09651805628510185,0.07975852562340462,19886.39913935966,8815.790011195055,29905.70634073901
Mt. Hotham,2026-08-25,2026,12,0.07384211839130604,0.07372958257667599,0.07136748162239413,17119.65221153699,6734.330783548635,26759.458390127413
Mt. Hotham,2026-09-01,2026,13,0.059898919394660126,0.04564284662397969,0.0638390481963884,13887.042926496035,4168.937573313912,23936.6489476988
Mt. Hotham,2026-09-08,2026,14,0.0465223550823968,0.02272516005655696,0.05436052270668194,10785.802959385777,2075.676269708795,20382.64644297859
Mt. Hotham,2026-09-15,2026,15,0.03130870351939353,0.0,0.04166769659287278,7258.6503085649265,0.0,15623.431958674575
Mt. Stirling,2026-06-09,2026,1,0.026634698314647664,0.0,0.04681779845282804,213.97463857687146,0.0,573.6649814610156
Mt. Stirling,2026-06-16,2026,2,0.018507015817262114,0.0,0.03855865092876973,148.67943964874186,0.0,472.4645007069595
