Resort,Date,TempMax,TempMin,Rainfall,TempMax_lag1,TempMax_lag2,TempMin_lag1,TempMin_lag2,Rainfall_lag1,Rainfall_lag2,weekofyear,sin_week,cos_week
Cabramurra SMHEA AWS,2014-02-02,27.785714285714285,17.271428571428572,0.0,20.771428571428572,29.985714285714288,9.37142857142857,18.7,42.2,0.6,5,0.5680647467311558,0.8229838658936564
Cabramurra SMHEA AWS,2014-02-09,24.928571428571427,12.971428571428573,0.0,27.785714285714285,20.771428571428572,17.271428571428572,9.37142857142857,0.0,42.2,6,0.6631226582407952,0.7485107481711011
Cabramurra SMHEA AWS,2014-02-16,22.3,14.185714285714285,63.6,24.928571428571427,27.785714285714285,12.971428571428573,17.271428571428572,0.0,0.0,7,0.7485107481711011,0.6631226582407953
Cabramurra SMHEA AWS,2014-02-23,18.557142857142857,7.814285714285715,14.200000000000001,22.3,24.928571428571427,14.185714285714285,12.971428571428573,63.6,0.0,8,0.8229838658936564,0.5680647467311558
Cabramurra SMHEA AWS,2014-03-02,18.557142857142857,11.114285714285714,46.0,18.557142857142857,22.3,7.814285714285715,14.185714285714285,14.200000000000001,63.6,9,0.8854560256532098,0.4647231720437686
Cabramurra SMHEA AWS,2014-03-09,20.042857142857144,11.0,9.0,18.557142857142857,18.557142857142857,11.114285714285714,7.814285714285715,46.0,14.200000000000001,10,0.9350162426854148,0.35460488704253557
Cabramurra SMHEA AWS,2014-03-16,17.47142857142857,10.528571428571428,36.2,20.042857142857144,18.557142857142857,11.0,11.114285714285714,9.0,46.0,11,0.970941817426052,0.23931566428755804
Cabramurra SMHEA AWS,2014-03-23,16.385714285714286,8.014285714285714,35.6,17.47142857142857,20.042857142857144,10.528571428571428,11.0,36.2,9.0,12,0.992708874098054,0.120536680255323
Cabramurra SMHEA AWS,2014-03-30,14.042857142857143,9.228571428571428,27.0,16.385714285714286,17.47142857142857,8.014285714285714,10.528571428571428,35.6,36.2,13,1.0,-1.6081226496766366e-16
Cabramurra SMHEA AWS,2014-04-06,14.685714285714285,9.485714285714286,35.6,14.042857142857143,16.385714285714286,9.228571428571428,8.014285714285714,27.0,35.6,14,0.992708874098054,-0.12053668025532288
Cabramurra SMHEA AWS,2014-04-13,13.414285714285715,7.1571428571428575,56.8,14.685714285714285,14.042857142857143,9.485714285714286,9.228571428571428,35.6,27.0,15,0.9709418174260521,-0.2393156642875575
Cabramurra SMHEA AWS,2014-04-20,10.414285714285715,2.942857142857143,1.6,13.414285714285715,14.685714285714285,7.1571428571428575,9.485714285714286,56.8,35.6,16,0.9350162426854148,-0.35460488704253545
Cabramurra SMHEA AWS,2014-04-27,11.62857142857143,5.0,1.6,10.414285714285715,13.414285714285715,2.942857142857143,7.1571428571428575,1.6,56.8,17,0.8854560256532099,-0.4647231720437685
Cabramurra SMHEA AWS,2014-05-04,6.914285714285714,2.7142857142857144,29.4,11.62857142857143,10.414285714285715,5.0,2.942857142857143,1.6,1.6,18,0.8229838658936565,-0.5680647467311557
Cabramurra SMHEA AWS,2014-05-11,7.185714285714285,1.1285714285714286,14.8,6.914285714285714,11.62857142857143,2.7142857142857144,5.0,29.4,1.6,19,0.7485107481711013,-0.6631226582407951
Cabramurra SMHEA AWS,2014-05-18,10.885714285714286,5.0,0.0,7.185714285714285,6.914285714285714,1.1285714285714286,2.7142857142857144,14.8,29.4,20,0.6631226582407952,-0.7485107481711012
Cabramurra SMHEA AWS,2014-05-25,9.785714285714286,6.1571428571428575,13.799999999999999,10.885714285714286,7.185714285714285,5.0,1.1285714285714286,0.0,14.8,21,0.5680647467311558,-0.8229838658936564
Cabramurra SMHEA AWS,2014-06-01,9.657142857142857,4.757142857142857,56.6,9.785714285714286,10.885714285714286,6.1571428571428575,5.0,13.799999999999999,0.0,22,0.46472317204376906,-0.8854560256532096
Cabramurra SMHEA AWS,2014-06-08,7.0,1.9428571428571428,45.599999999999994,9.657142857142857,9.785714285714286,4.757142857142857,6.1571428571428575,56.6,13.799999999999999,23,0.35460488704253584,-0.9350162426854147
Cabramurra SMHEA AWS,2014-06-15,6.828571428571428,1.5714285714285714,29.200000000000003,7.0,9.657142857142857,1.9428571428571428,4.757142857142857,45.599999999999994,56.6,24,0.23931566428755768,-0.970941817426052
Cabramurra SMHEA AWS,2014-06-22,6.714285714285714,1.5285714285714285,14.4,6.828571428571428,7.0,1.5714285714285714,1.9428571428571428,29.200000000000003,45.599999999999994,25,0.12053668025532308,-0.992708874098054
Cabramurra SMHEA AWS,2014-06-29,1.6714285714285713,-0.8571428571428571,109.0,6.714285714285714,6.828571428571428,1.5285714285714285,1.5714285714285714,14.4,29.200000000000003,26,-3.216245299353273e-16,-1.0
Cabramurra SMHEA AWS,2014-07-06,3.142857142857143,-0.7571428571428571,60.2,1.6714285714285713,6.714285714285714,-0.8571428571428571,1.5285714285714285,109.0,14.4,27,-0.12053668025532283,-0.992708874098054
Cabramurra SMHEA AWS,2014-07-13,1.2714285714285716,-2.257142857142857,44.2,3.142857142857143,1.6714285714285713,-0.7571428571428571,-0.8571428571428571,60.2,109.0,28,-0.23931566428755743,-0.9709418174260521
Cabramurra SMHEA AWS,2014-07-20,2.7857142857142856,-1.6142857142857143,30.8,1.2714285714285716,3.142857142857143,-2.257142857142857,-0.7571428571428571,44.2,60.2,29,-0.3546048870425356,-0.9350162426854148
Cabramurra SMHEA AWS,2014-07-27,5.528571428571429,0.8857142857142858,5.0,2.7857142857142856,1.2714285714285716,-1.6142857142857143,-2.257142857142857,30.8,44.2,30,-0.46472317204376806,-0.8854560256532101
Cabramurra SMHEA AWS,2014-08-03,3.3714285714285714,-1.0285714285714287,14.799999999999999,5.528571428571429,2.7857142857142856,0.8857142857142858,-1.6142857142857143,5.0,30.8,31,-0.5680647467311556,-0.8229838658936565
Cabramurra SMHEA AWS,2014-08-10,4.714285714285714,-0.8428571428571429,0.0,3.3714285714285714,5.528571428571429,-1.0285714285714287,0.8857142857142858,14.799999999999999,5.0,32,-0.663122658240795,-0.7485107481711013
Cabramurra SMHEA AWS,2014-08-17,5.8428571428571425,-2.2857142857142856,2.0,4.714285714285714,3.3714285714285714,-0.8428571428571429,-1.0285714285714287,0.0,14.799999999999999,33,-0.7485107481711011,-0.6631226582407952
Cabramurra SMHEA AWS,2014-08-24,8.614285714285714,1.1,6.0,5.8428571428571425,4.714285714285714,-2.2857142857142856,-0.8428571428571429,2.0,0.0,34,-0.8229838658936564,-0.5680647467311559
Cabramurra SMHEA AWS,2014-08-31,9.057142857142859,0.9571428571428572,1.2,8.614285714285714,5.8428571428571425,1.1,-2.2857142857142856,6.0,2.0,35,-0.8854560256532096,-0.4647231720437691
Cabramurra SMHEA AWS,2014-09-07,8.4,-0.31428571428571433,6.4,9.057142857142859,8.614285714285714,0.9571428571428572,1.1,1.2,6.0,36,-0.9350162426854147,-0.3546048870425359
Cabramurra SMHEA AWS,2014-09-14,8.885714285714284,2.2714285714285714,25.2,8.4,9.057142857142859,-0.31428571428571433,0.9571428571428572,6.4,1.2,37,-0.970941817426052,-0.23931566428755774
Cabramurra SMHEA AWS,2014-09-21,8.442857142857141,1.1142857142857143,9.600000000000001,8.885714285714284,8.4,2.2714285714285714,-0.31428571428571433,25.2,6.4,38,-0.992708874098054,-0.12053668025532357
Cabramurra SMHEA AWS,2014-09-28,12.442857142857145,4.871428571428572,18.200000000000003,8.442857142857141,8.885714285714284,1.1142857142857143,2.2714285714285714,9.600000000000001,25.2,39,-1.0,-1.8369701987210297e-16
Cabramurra SMHEA AWS,2014-10-05,13.528571428571428,4.514285714285714,0.0,12.442857142857145,8.442857142857141,4.871428571428572,1.1142857142857143,18.200000000000003,9.600000000000001,40,-0.992708874098054,0.1205366802553232
Cabramurra SMHEA AWS,2014-10-12,14.542857142857143,6.671428571428572,26.8,13.528571428571428,12.442857142857145,4.514285714285714,4.871428571428572,0.0,18.200000000000003,41,-0.9709418174260521,0.23931566428755738
Cabramurra SMHEA AWS,2014-10-19,10.542857142857143,2.557142857142857,29.0,14.542857142857143,13.528571428571428,6.671428571428572,4.514285714285714,26.8,0.0,42,-0.9350162426854148,0.35460488704253557
Cabramurra SMHEA AWS,2014-10-26,19.614285714285717,9.828571428571427,0.0,10.542857142857143,14.542857142857143,2.557142857142857,6.671428571428572,29.0,26.8,43,-0.8854560256532101,0.464723172043768
Cabramurra SMHEA AWS,2014-11-02,13.799999999999999,5.8428571428571425,16.0,19.614285714285717,10.542857142857143,9.828571428571427,2.557142857142857,0.0,29.0,44,-0.822983865893657,0.5680647467311548
Cabramurra SMHEA AWS,2014-11-09,18.02857142857143,7.642857142857143,0.0,13.799999999999999,19.614285714285717,5.8428571428571425,9.828571428571427,16.0,0.0,45,-0.7485107481711011,0.6631226582407953
